Instrument,Date,Settlement Price,Open Price,Close Price,Open Interest,RIC,Strike,Expiry,Expiry_Date
CL525C25^C25,2024-09-30T00:00:00Z,15.7,16.98,17.18,3,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-10-01T00:00:00Z,17.0,16.98,17.18,3,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-10-02T00:00:00Z,17.27,16.98,17.18,3,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-10-03T00:00:00Z,20.17,16.98,17.18,3,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-10-04T00:00:00Z,20.2,16.98,17.18,3,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-10-07T00:00:00Z,22.82,16.98,17.18,3,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-10-08T00:00:00Z,19.95,16.98,17.18,3,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-10-09T00:00:00Z,19.41,19.54,19.54,3,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-10-10T00:00:00Z,21.61,19.54,19.54,3,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-10-11T00:00:00Z,21.45,19.54,19.54,3,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-10-14T00:00:00Z,20.24,19.54,19.54,3,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-10-15T00:00:00Z,17.37,19.54,19.54,3,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-10-16T00:00:00Z,17.12,19.54,19.54,3,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-10-17T00:00:00Z,17.28,19.54,19.54,3,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-10-18T00:00:00Z,16.13,19.54,19.54,3,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-10-21T00:00:00Z,17.16,19.54,19.54,3,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-10-22T00:00:00Z,18.72,19.54,19.54,3,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-10-23T00:00:00Z,17.9,19.54,19.54,3,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-10-24T00:00:00Z,17.48,19.54,19.54,3,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-10-25T00:00:00Z,18.8,19.54,19.54,3,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-10-28T00:00:00Z,14.75,19.54,19.54,3,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-10-29T00:00:00Z,14.54,19.54,19.54,3,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-10-30T00:00:00Z,15.66,19.54,19.54,3,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-10-31T00:00:00Z,16.23,19.54,19.54,3,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-11-01T00:00:00Z,16.53,19.54,19.54,3,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-11-04T00:00:00Z,18.32,19.54,19.54,3,CL525C25^C25,52.5,C25,2025-03-01
