Instrument,Date,Close Price
CLc1,11/22/2023,76.82
CLc1,11/24/2023,75.18
CLc1,11/27/2023,75.02
CLc1,11/28/2023,76.58
CLc1,11/29/2023,77.72
CLc1,11/30/2023,75.61
CLc1,12/1/2023,74.38
CLc1,12/4/2023,73.29
CLc1,12/5/2023,72.06
CLc1,12/6/2023,69.25
CLc1,12/7/2023,69.64
CLc1,12/8/2023,71.26
CLc1,12/11/2023,71.4
CLc1,12/12/2023,68.76
CLc1,12/13/2023,69.87
CLc1,12/14/2023,71.65
CLc1,12/15/2023,71.79
CLc1,12/18/2023,72.56
CLc1,12/19/2023,73.58
CLc1,12/20/2023,73.82
CLc1,12/21/2023,73.93
CLc1,12/22/2023,73.49
CLc1,12/22/2023,73.49
CLc1,12/26/2023,75.43
CLc1,12/27/2023,73.82
CLc1,12/28/2023,72.04
CLc1,12/29/2023,71.33
CLc1,12/29/2023,71.33
CLc1,1/2/2024,70.5
CLc1,1/3/2024,73.02
CLc1,1/4/2024,72.4
CLc1,1/5/2024,73.95
CLc1,1/8/2024,70.92
CLc1,1/9/2024,72.23
CLc1,1/10/2024,71.32
CLc1,1/11/2024,72.85
CLc1,1/12/2024,72.76
CLc1,1/12/2024,72.76
CLc1,1/16/2024,71.91
CLc1,1/17/2024,72.84
CLc1,1/18/2024,74.01
CLc1,1/19/2024,73.71
CLc1,1/22/2024,75.01
CLc1,1/23/2024,74.51
CLc1,1/24/2024,75.36
CLc1,1/25/2024,77.1
CLc1,1/26/2024,78.23
CLc1,1/29/2024,76.98
CLc1,1/30/2024,77.79
CLc1,1/31/2024,75.85
CLc1,2/1/2024,73.92
CLc1,2/2/2024,72.41
CLc1,2/5/2024,72.8
CLc1,2/6/2024,73.45
CLc1,2/7/2024,74.08
CLc1,2/8/2024,76.46
CLc1,2/9/2024,76.6
CLc1,2/12/2024,76.94
CLc1,2/13/2024,77.77
CLc1,2/14/2024,76.56
CLc1,2/15/2024,78.07
CLc1,2/16/2024,79.22
CLc1,2/16/2024,79.22
CLc1,2/20/2024,78.27
CLc1,2/21/2024,78.06
CLc1,2/22/2024,78.34
CLc1,2/23/2024,76.57
CLc1,2/26/2024,77.6
CLc1,2/27/2024,78.52
CLc1,2/28/2024,78.29
CLc1,2/29/2024,78.3
CLc1,3/1/2024,79.81
CLc1,3/4/2024,78.76
CLc1,3/5/2024,78.14
CLc1,3/6/2024,79.12
CLc1,3/7/2024,79.46
CLc1,3/8/2024,77.85
CLc1,3/11/2024,78.14
CLc1,3/12/2024,78.03
CLc1,3/13/2024,79.6
CLc1,3/14/2024,81.08
CLc1,3/15/2024,81
CLc1,3/18/2024,82.79
CLc1,3/19/2024,83.2
CLc1,3/20/2024,81.84
CLc1,3/21/2024,80.82
CLc1,3/22/2024,80.82
CLc1,3/25/2024,82
CLc1,3/26/2024,81.29
CLc1,3/27/2024,81.71
CLc1,3/28/2024,83.11
CLc1,3/28/2024,83.11
CLc1,4/1/2024,83.99
CLc1,4/2/2024,85.44
CLc1,4/3/2024,85.65
CLc1,4/4/2024,86.86
CLc1,4/5/2024,86.73
CLc1,4/8/2024,86.57
CLc1,4/9/2024,85.34
CLc1,4/10/2024,86.25
CLc1,4/11/2024,85.59
CLc1,4/12/2024,85.45
CLc1,4/15/2024,85.65
CLc1,4/16/2024,85.31
CLc1,4/17/2024,82.86
CLc1,4/18/2024,82.51
CLc1,4/19/2024,83.24
CLc1,4/22/2024,83.02
CLc1,4/23/2024,83.4
CLc1,4/24/2024,82.84
CLc1,4/25/2024,83.77
CLc1,4/26/2024,83.66
CLc1,4/29/2024,82.73
CLc1,4/30/2024,81.55
CLc1,5/1/2024,79.13
CLc1,5/2/2024,79.06
CLc1,5/3/2024,77.99
CLc1,5/6/2024,78.69
CLc1,5/7/2024,78.37
CLc1,5/8/2024,79.22
CLc1,5/9/2024,79.57
CLc1,5/10/2024,78.2
CLc1,5/13/2024,79.2
CLc1,5/14/2024,78.45
CLc1,5/15/2024,78.87
CLc1,5/16/2024,79.36
CLc1,5/17/2024,80
CLc1,5/20/2024,79.65
CLc1,5/21/2024,79.06
CLc1,5/22/2024,77.25
CLc1,5/23/2024,76.98
CLc1,5/24/2024,77.8
CLc1,5/24/2024,77.8
CLc1,5/28/2024,80.28
CLc1,5/29/2024,79.28
CLc1,5/30/2024,77.87
CLc1,5/31/2024,77.18
CLc1,6/3/2024,74
CLc1,6/4/2024,72.92
CLc1,6/5/2024,74.29
CLc1,6/6/2024,75.67
CLc1,6/7/2024,75.38
CLc1,6/10/2024,78.23
CLc1,6/11/2024,78.18
CLc1,6/12/2024,78.32
CLc1,6/13/2024,77.93
CLc1,6/14/2024,78.49
CLc1,6/17/2024,80.62
CLc1,6/18/2024,81.55
CLc1,6/18/2024,81.55
CLc1,6/20/2024,82.34
CLc1,6/21/2024,80.59
CLc1,6/24/2024,81.75
CLc1,6/25/2024,80.78
CLc1,6/26/2024,80.88
CLc1,6/27/2024,81.81
CLc1,6/28/2024,81.46
CLc1,7/1/2024,83.38
CLc1,7/2/2024,83.17
CLc1,7/3/2024,83.6
CLc1,7/3/2024,83.6
CLc1,7/5/2024,83.44
CLc1,7/8/2024,82.22
CLc1,7/9/2024,81.81
CLc1,7/10/2024,82.41
CLc1,7/11/2024,82.84
CLc1,7/12/2024,82.18
CLc1,7/15/2024,81.96
CLc1,7/16/2024,80.82
CLc1,7/17/2024,83.1
CLc1,7/18/2024,82.4
CLc1,7/19/2024,80.25
CLc1,7/22/2024,79.95
CLc1,7/23/2024,77.47
CLc1,7/24/2024,77.5
CLc1,7/25/2024,78.35
CLc1,7/26/2024,76.44
CLc1,7/29/2024,75.94
CLc1,7/30/2024,75.28
CLc1,7/31/2024,78.64
CLc1,8/1/2024,76.93
CLc1,8/2/2024,74.14
CLc1,8/5/2024,73.92
CLc1,8/6/2024,72.96
CLc1,8/7/2024,75.47
CLc1,8/8/2024,76.09
CLc1,8/9/2024,76.98
CLc1,8/12/2024,79.66
CLc1,8/13/2024,78.66
CLc1,8/14/2024,77.22
CLc1,8/15/2024,78.09
CLc1,8/16/2024,76.6
CLc1,8/19/2024,74.44
CLc1,8/20/2024,73.82
CLc1,8/21/2024,71.94
CLc1,8/22/2024,72.98
CLc1,8/23/2024,74.96
CLc1,8/26/2024,77.16
CLc1,8/27/2024,75.76
CLc1,8/28/2024,74.38
CLc1,8/29/2024,76.02
CLc1,8/30/2024,73.65
CLc1,8/30/2024,73.65
CLc1,9/3/2024,70.22
CLc1,9/4/2024,69.25
CLc1,9/5/2024,69.32
CLc1,9/6/2024,68.16
CLc1,9/9/2024,68.8
CLc1,9/10/2024,66.31
